,state,date,h,cp
383,AZ,2020-12-19,3,1.0
384,AR,2020-05-16,0,1.0
385,AR,2020-05-16,1,1.0
386,AR,2020-05-16,2,1.0
387,AR,2020-05-16,3,1.0
388,AR,2020-05-23,0,1.0
389,AR,2020-05-23,1,1.0
390,AR,2020-05-23,2,1.0
391,AR,2020-05-23,3,1.0
392,AR,2020-05-30,0,1.0
393,AR,2020-05-30,1,1.0
394,AR,2020-05-30,2,1.0
395,AR,2020-05-30,3,1.0
396,AR,2020-06-06,0,1.0
397,AR,2020-06-06,1,1.0
398,AR,2020-06-06,2,1.0
399,AR,2020-06-06,3,1.0
400,AR,2020-06-13,0,1.0
401,AR,2020-06-13,1,1.0
402,AR,2020-06-13,2,1.0
403,AR,2020-06-13,3,1.0
404,AR,2020-06-20,0,0.0
405,AR,2020-06-20,1,0.0
406,AR,2020-06-20,2,1.0
407,AR,2020-06-20,3,1.0
408,AR,2020-06-27,0,1.0
409,AR,2020-06-27,1,1.0
410,AR,2020-06-27,2,1.0
411,AR,2020-06-27,3,1.0
412,AR,2020-07-04,0,1.0
413,AR,2020-07-04,1,1.0
414,AR,2020-07-04,2,1.0
415,AR,2020-07-04,3,1.0
416,AR,2020-07-11,0,1.0
417,AR,2020-07-11,1,1.0
418,AR,2020-07-11,2,1.0
419,AR,2020-07-11,3,1.0
420,AR,2020-07-18,0,1.0
421,AR,2020-07-18,1,1.0
422,AR,2020-07-18,2,1.0
423,AR,2020-07-18,3,1.0
424,AR,2020-07-25,0,1.0
425,AR,2020-07-25,1,1.0
426,AR,2020-07-25,2,1.0
427,AR,2020-07-25,3,1.0
428,AR,2020-08-01,0,1.0
429,AR,2020-08-01,1,1.0
430,AR,2020-08-01,2,1.0
431,AR,2020-08-01,3,1.0
432,AR,2020-08-08,0,1.0
433,AR,2020-08-08,1,1.0
434,AR,2020-08-08,2,1.0
435,AR,2020-08-08,3,1.0
436,AR,2020-08-15,0,1.0
437,AR,2020-08-15,1,1.0
438,AR,2020-08-15,2,1.0
439,AR,2020-08-15,3,1.0
440,AR,2020-08-22,0,1.0
441,AR,2020-08-22,1,1.0
442,AR,2020-08-22,2,1.0
443,AR,2020-08-22,3,1.0
444,AR,2020-08-29,0,1.0
445,AR,2020-08-29,1,1.0
446,AR,2020-08-29,2,1.0
447,AR,2020-08-29,3,1.0
448,AR,2020-09-05,0,1.0
449,AR,2020-09-05,1,1.0
450,AR,2020-09-05,2,1.0
451,AR,2020-09-05,3,1.0
452,AR,2020-09-12,0,1.0
453,AR,2020-09-12,1,1.0
454,AR,2020-09-12,2,1.0
455,AR,2020-09-12,3,1.0
456,AR,2020-09-19,0,1.0
457,AR,2020-09-19,1,1.0
458,AR,2020-09-19,2,1.0
459,AR,2020-09-19,3,1.0
460,AR,2020-09-26,0,1.0
461,AR,2020-09-26,1,1.0
462,AR,2020-09-26,2,1.0
463,AR,2020-09-26,3,1.0
464,AR,2020-10-03,0,1.0
465,AR,2020-10-03,1,1.0
466,AR,2020-10-03,2,1.0
467,AR,2020-10-03,3,1.0
468,AR,2020-10-10,0,1.0
469,AR,2020-10-10,1,1.0
470,AR,2020-10-10,2,1.0
471,AR,2020-10-10,3,1.0
472,AR,2020-10-17,0,1.0
473,AR,2020-10-17,1,1.0
474,AR,2020-10-17,2,1.0
475,AR,2020-10-17,3,1.0
476,AR,2020-10-24,0,1.0
477,AR,2020-10-24,1,1.0
478,AR,2020-10-24,2,1.0
479,AR,2020-10-24,3,1.0
480,AR,2020-10-31,0,1.0
481,AR,2020-10-31,1,1.0
482,AR,2020-10-31,2,1.0
483,AR,2020-10-31,3,1.0
484,AR,2020-11-07,0,1.0
485,AR,2020-11-07,1,1.0
486,AR,2020-11-07,2,1.0
487,AR,2020-11-07,3,1.0
488,AR,2020-11-14,0,1.0
489,AR,2020-11-14,1,1.0
490,AR,2020-11-14,2,1.0
491,AR,2020-11-14,3,1.0
492,AR,2020-11-21,0,1.0
493,AR,2020-11-21,1,1.0
494,AR,2020-11-21,2,1.0
495,AR,2020-11-21,3,1.0
496,AR,2020-11-28,0,1.0
497,AR,2020-11-28,1,0.0
498,AR,2020-11-28,2,1.0
499,AR,2020-11-28,3,1.0
500,AR,2020-12-05,0,1.0
501,AR,2020-12-05,1,1.0
502,AR,2020-12-05,2,1.0
503,AR,2020-12-05,3,1.0
504,AR,2020-12-12,0,1.0
505,AR,2020-12-12,1,1.0
506,AR,2020-12-12,2,1.0
507,AR,2020-12-12,3,1.0
508,AR,2020-12-19,0,1.0
509,AR,2020-12-19,1,1.0
510,AR,2020-12-19,2,1.0
511,AR,2020-12-19,3,1.0
512,CA,2020-05-16,0,1.0
513,CA,2020-05-16,1,1.0
514,CA,2020-05-16,2,1.0
515,CA,2020-05-16,3,1.0
516,CA,2020-05-23,0,1.0
517,CA,2020-05-23,1,1.0
518,CA,2020-05-23,2,1.0
519,CA,2020-05-23,3,1.0
520,CA,2020-05-30,0,1.0
521,CA,2020-05-30,1,1.0
522,CA,2020-05-30,2,1.0
523,CA,2020-05-30,3,1.0
524,CA,2020-06-06,0,1.0
525,CA,2020-06-06,1,1.0
526,CA,2020-06-06,2,1.0
527,CA,2020-06-06,3,1.0
528,CA,2020-06-13,0,1.0
529,CA,2020-06-13,1,1.0
530,CA,2020-06-13,2,1.0
531,CA,2020-06-13,3,1.0
532,CA,2020-06-20,0,1.0
533,CA,2020-06-20,1,1.0
534,CA,2020-06-20,2,1.0
535,CA,2020-06-20,3,1.0
536,CA,2020-06-27,0,1.0
537,CA,2020-06-27,1,1.0
538,CA,2020-06-27,2,1.0
539,CA,2020-06-27,3,1.0
540,CA,2020-07-04,0,1.0
541,CA,2020-07-04,1,1.0
542,CA,2020-07-04,2,1.0
543,CA,2020-07-04,3,1.0
544,CA,2020-07-11,0,1.0
545,CA,2020-07-11,1,1.0
546,CA,2020-07-11,2,1.0
547,CA,2020-07-11,3,1.0
548,CA,2020-07-18,0,1.0
549,CA,2020-07-18,1,1.0
550,CA,2020-07-18,2,1.0
551,CA,2020-07-18,3,1.0
552,CA,2020-07-25,0,1.0
553,CA,2020-07-25,1,1.0
554,CA,2020-07-25,2,1.0
555,CA,2020-07-25,3,1.0
556,CA,2020-08-01,0,1.0
557,CA,2020-08-01,1,1.0
558,CA,2020-08-01,2,1.0
559,CA,2020-08-01,3,1.0
560,CA,2020-08-08,0,1.0
561,CA,2020-08-08,1,1.0
562,CA,2020-08-08,2,1.0
563,CA,2020-08-08,3,1.0
564,CA,2020-08-15,0,1.0
565,CA,2020-08-15,1,1.0
566,CA,2020-08-15,2,1.0
567,CA,2020-08-15,3,1.0
568,CA,2020-08-22,0,1.0
569,CA,2020-08-22,1,1.0
570,CA,2020-08-22,2,1.0
571,CA,2020-08-22,3,1.0
572,CA,2020-08-29,0,1.0
573,CA,2020-08-29,1,1.0
574,CA,2020-08-29,2,1.0
575,CA,2020-08-29,3,1.0
576,CA,2020-09-05,0,1.0
577,CA,2020-09-05,1,1.0
578,CA,2020-09-05,2,1.0
579,CA,2020-09-05,3,1.0
580,CA,2020-09-12,0,1.0
581,CA,2020-09-12,1,1.0
582,CA,2020-09-12,2,1.0
583,CA,2020-09-12,3,1.0
584,CA,2020-09-19,0,1.0
585,CA,2020-09-19,1,1.0
586,CA,2020-09-19,2,1.0
587,CA,2020-09-19,3,1.0
588,CA,2020-09-26,0,1.0
589,CA,2020-09-26,1,1.0
590,CA,2020-09-26,2,1.0
591,CA,2020-09-26,3,1.0
592,CA,2020-10-03,0,1.0
593,CA,2020-10-03,1,1.0
594,CA,2020-10-03,2,1.0
595,CA,2020-10-03,3,1.0
596,CA,2020-10-10,0,1.0
597,CA,2020-10-10,1,1.0
598,CA,2020-10-10,2,1.0
599,CA,2020-10-10,3,1.0
600,CA,2020-10-17,0,1.0
601,CA,2020-10-17,1,1.0
602,CA,2020-10-17,2,1.0
603,CA,2020-10-17,3,1.0
604,CA,2020-10-24,0,1.0
605,CA,2020-10-24,1,1.0
606,CA,2020-10-24,2,1.0
607,CA,2020-10-24,3,1.0
608,CA,2020-10-31,0,1.0
609,CA,2020-10-31,1,1.0
610,CA,2020-10-31,2,1.0
611,CA,2020-10-31,3,1.0
612,CA,2020-11-07,0,1.0
613,CA,2020-11-07,1,1.0
614,CA,2020-11-07,2,1.0
615,CA,2020-11-07,3,1.0
616,CA,2020-11-14,0,1.0
617,CA,2020-11-14,1,1.0
618,CA,2020-11-14,2,1.0
619,CA,2020-11-14,3,1.0
620,CA,2020-11-21,0,1.0
621,CA,2020-11-21,1,1.0
622,CA,2020-11-21,2,1.0
623,CA,2020-11-21,3,1.0
624,CA,2020-11-28,0,1.0
625,CA,2020-11-28,1,1.0
626,CA,2020-11-28,2,1.0
627,CA,2020-11-28,3,1.0
628,CA,2020-12-05,0,1.0
629,CA,2020-12-05,1,1.0
630,CA,2020-12-05,2,1.0
631,CA,2020-12-05,3,1.0
632,CA,2020-12-12,0,1.0
633,CA,2020-12-12,1,1.0
634,CA,2020-12-12,2,1.0
635,CA,2020-12-12,3,1.0
636,CA,2020-12-19,0,1.0
637,CA,2020-12-19,1,1.0
638,CA,2020-12-19,2,1.0
639,CA,2020-12-19,3,1.0
640,CO,2020-05-16,0,1.0
641,CO,2020-05-16,1,1.0
642,CO,2020-05-16,2,1.0
643,CO,2020-05-16,3,1.0
644,CO,2020-05-23,0,1.0
645,CO,2020-05-23,1,1.0
646,CO,2020-05-23,2,1.0
647,CO,2020-05-23,3,1.0
648,CO,2020-05-30,0,1.0
649,CO,2020-05-30,1,1.0
650,CO,2020-05-30,2,1.0
651,CO,2020-05-30,3,1.0
652,CO,2020-06-06,0,1.0
653,CO,2020-06-06,1,1.0
654,CO,2020-06-06,2,1.0
655,CO,2020-06-06,3,1.0
656,CO,2020-06-13,0,1.0
657,CO,2020-06-13,1,1.0
658,CO,2020-06-13,2,1.0
659,CO,2020-06-13,3,1.0
660,CO,2020-06-20,0,1.0
661,CO,2020-06-20,1,1.0
662,CO,2020-06-20,2,1.0
663,CO,2020-06-20,3,1.0
664,CO,2020-06-27,0,1.0
665,CO,2020-06-27,1,1.0
666,CO,2020-06-27,2,1.0
667,CO,2020-06-27,3,1.0
668,CO,2020-07-04,0,1.0
669,CO,2020-07-04,1,1.0
670,CO,2020-07-04,2,1.0
671,CO,2020-07-04,3,1.0
672,CO,2020-07-11,0,1.0
673,CO,2020-07-11,1,1.0
674,CO,2020-07-11,2,1.0
675,CO,2020-07-11,3,1.0
676,CO,2020-07-18,0,1.0
677,CO,2020-07-18,1,1.0
678,CO,2020-07-18,2,1.0
679,CO,2020-07-18,3,1.0
680,CO,2020-07-25,0,1.0
681,CO,2020-07-25,1,0.0
682,CO,2020-07-25,2,1.0
683,CO,2020-07-25,3,1.0
684,CO,2020-08-01,0,0.0
685,CO,2020-08-01,1,1.0
686,CO,2020-08-01,2,1.0
687,CO,2020-08-01,3,1.0
688,CO,2020-08-08,0,1.0
689,CO,2020-08-08,1,1.0
690,CO,2020-08-08,2,1.0
691,CO,2020-08-08,3,1.0
692,CO,2020-08-15,0,1.0
693,CO,2020-08-15,1,1.0
694,CO,2020-08-15,2,1.0
695,CO,2020-08-15,3,1.0
696,CO,2020-08-22,0,1.0
697,CO,2020-08-22,1,1.0
698,CO,2020-08-22,2,1.0
699,CO,2020-08-22,3,1.0
700,CO,2020-08-29,0,1.0
701,CO,2020-08-29,1,1.0
702,CO,2020-08-29,2,1.0
703,CO,2020-08-29,3,1.0
704,CO,2020-09-05,0,1.0
705,CO,2020-09-05,1,1.0
706,CO,2020-09-05,2,1.0
707,CO,2020-09-05,3,1.0
708,CO,2020-09-12,0,1.0
709,CO,2020-09-12,1,1.0
710,CO,2020-09-12,2,1.0
711,CO,2020-09-12,3,1.0
712,CO,2020-09-19,0,1.0
713,CO,2020-09-19,1,1.0
714,CO,2020-09-19,2,1.0
715,CO,2020-09-19,3,1.0
716,CO,2020-09-26,0,0.0
717,CO,2020-09-26,1,1.0
718,CO,2020-09-26,2,1.0
719,CO,2020-09-26,3,1.0
720,CO,2020-10-03,0,1.0
721,CO,2020-10-03,1,1.0
722,CO,2020-10-03,2,1.0
723,CO,2020-10-03,3,1.0
724,CO,2020-10-10,0,1.0
725,CO,2020-10-10,1,1.0
726,CO,2020-10-10,2,1.0
727,CO,2020-10-10,3,1.0
728,CO,2020-10-17,0,1.0
729,CO,2020-10-17,1,1.0
730,CO,2020-10-17,2,1.0
731,CO,2020-10-17,3,1.0
732,CO,2020-10-24,0,1.0
733,CO,2020-10-24,1,1.0
734,CO,2020-10-24,2,1.0
735,CO,2020-10-24,3,1.0
736,CO,2020-10-31,0,1.0
737,CO,2020-10-31,1,1.0
738,CO,2020-10-31,2,1.0
739,CO,2020-10-31,3,1.0
740,CO,2020-11-07,0,1.0
741,CO,2020-11-07,1,1.0
742,CO,2020-11-07,2,1.0
743,CO,2020-11-07,3,1.0
744,CO,2020-11-14,0,1.0
745,CO,2020-11-14,1,1.0
746,CO,2020-11-14,2,1.0
747,CO,2020-11-14,3,1.0
748,CO,2020-11-21,0,1.0
749,CO,2020-11-21,1,1.0
750,CO,2020-11-21,2,1.0
751,CO,2020-11-21,3,1.0
752,CO,2020-11-28,0,1.0
753,CO,2020-11-28,1,1.0
754,CO,2020-11-28,2,1.0
755,CO,2020-11-28,3,1.0
756,CO,2020-12-05,0,1.0
757,CO,2020-12-05,1,1.0
758,CO,2020-12-05,2,1.0
759,CO,2020-12-05,3,1.0
760,CO,2020-12-12,0,1.0
761,CO,2020-12-12,1,1.0
762,CO,2020-12-12,2,1.0
763,CO,2020-12-12,3,1.0
764,CO,2020-12-19,0,1.0
765,CO,2020-12-19,1,1.0
