                     date locationtest  value abbreviation location  population
location_name                                                                  
New Jersey     2020-01-24           34      0           NJ       34   8882190.0
New Jersey     2020-01-25           34      0           NJ       34   8882190.0
New Jersey     2020-01-26           34      0           NJ       34   8882190.0
New Jersey     2020-01-27           34      0           NJ       34   8882190.0
New Jersey     2020-01-28           34      0           NJ       34   8882190.0
...                   ...          ...    ...          ...      ...         ...
New Jersey     2021-01-07           34   6704           NJ       34   8882190.0
New Jersey     2021-01-08           34   5931           NJ       34   8882190.0
New Jersey     2021-01-09           34   6558           NJ       34   8882190.0
New Jersey     2021-01-10           34   5578           NJ       34   8882190.0
New Jersey     2021-01-11           34   5334           NJ       34   8882190.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta_1[195]      0.00      0.00      0.00     -0.00      0.00   2318.40      1.00
   beta_1[196]      0.00      0.00      0.00     -0.00      0.00   2805.84      1.00
   beta_1[197]      0.00      0.00      0.00     -0.00      0.00   2634.09      1.00
   beta_1[198]      0.00      0.00      0.00     -0.00      0.00   2502.39      1.00
   beta_1[199]      0.00      0.00      0.00     -0.00      0.00   2383.44      1.00
   beta_1[200]      0.00      0.00      0.00     -0.00      0.00   2235.92      1.00
   beta_1[201]      0.00      0.00      0.00     -0.00      0.00   2551.66      1.00
   beta_1[202]      0.00      0.00      0.00     -0.00      0.00   2870.97      1.00
   beta_1[203]      0.00      0.00      0.00     -0.00      0.00   2591.91      1.00
   beta_1[204]      0.00      0.00      0.00     -0.00      0.00   2561.00      1.00
   beta_1[205]      0.00      0.00      0.00     -0.00      0.00   2600.49      1.00
   beta_1[206]      0.00      0.00      0.00     -0.00      0.00   2306.75      1.00
   beta_1[207]      0.00      0.00      0.00     -0.00      0.00   2651.00      1.00
   beta_1[208]      0.00      0.00      0.00     -0.00      0.00   2953.74      1.00
   beta_1[209]      0.00      0.00      0.00     -0.00      0.00   2911.18      1.00
   beta_1[210]      0.00      0.00      0.00     -0.00      0.00   2977.68      1.00
   beta_1[211]      0.00      0.00      0.00     -0.00      0.00   3008.13      1.00
   beta_1[212]      0.00      0.00      0.00     -0.00      0.00   3018.59      1.00
   beta_1[213]      0.00      0.00      0.00     -0.00      0.00   2782.22      1.00
   beta_1[214]      0.00      0.00      0.00     -0.00      0.00   2806.09      1.00
   beta_1[215]      0.00      0.00      0.00     -0.00      0.00   3163.46      1.00
   beta_1[216]      0.00      0.00      0.00     -0.00      0.00   2827.16      1.00
   beta_1[217]      0.00      0.00      0.00     -0.00      0.00   2733.12      1.00
   beta_1[218]      0.00      0.00      0.00     -0.00      0.00   2540.51      1.00
   beta_1[219]      0.00      0.00      0.00     -0.00      0.00   2115.49      1.00
   beta_1[220]      0.00      0.00      0.00     -0.00      0.00   2600.95      1.00
   beta_1[221]      0.00      0.00      0.00     -0.00      0.00   2506.60      1.00
   beta_1[222]      0.00      0.00      0.00     -0.00      0.00   2276.03      1.00
   beta_1[223]      0.00      0.00      0.00     -0.00      0.00   2428.51      1.00
   beta_1[224]      0.00      0.00      0.00     -0.00      0.00   2738.82      1.00
   beta_1[225]      0.00      0.00      0.00     -0.00      0.00   2890.48      1.00
  transform[0]     -0.04      0.98     -0.03     -1.69      1.48    974.04      1.00

Number of divergences: 83
