,state,date,h,mae
344,AZ,2020-10-17,0,907.5732421875
345,AZ,2020-10-17,1,1031.4033203125
346,AZ,2020-10-17,2,2608.12890625
347,AZ,2020-10-17,3,6425.94140625
348,AZ,2020-10-24,0,793.369140625
349,AZ,2020-10-24,1,2170.6953125
350,AZ,2020-10-24,2,5724.892578125
351,AZ,2020-10-24,3,11923.7177734375
352,AZ,2020-10-31,0,139.2041015625
353,AZ,2020-10-31,1,2815.392578125
354,AZ,2020-10-31,2,8171.990234375
355,AZ,2020-10-31,3,12572.810546875
356,AZ,2020-11-07,0,15657.609642028809
357,AZ,2020-11-07,1,22269.577239990234
358,AZ,2020-11-07,2,27428.566984176636
359,AZ,2020-11-07,3,36114.534563064575
360,AZ,2020-11-14,0,3736.607421875
361,AZ,2020-11-14,1,6222.80859375
362,AZ,2020-11-14,2,13018.9140625
363,AZ,2020-11-14,3,19408.091796875
364,AZ,2020-11-21,0,1339.498046875
365,AZ,2020-11-21,1,5267.5625
366,AZ,2020-11-21,2,8925.3671875
367,AZ,2020-11-21,3,8548.38671875
368,AZ,2020-11-28,0,1436.35546875
369,AZ,2020-11-28,1,767.17578125
370,AZ,2020-11-28,2,1079.61328125
371,AZ,2020-11-28,3,2647.8515625
372,AZ,2020-12-05,0,2302.66015625
373,AZ,2020-12-05,1,260.1953125
374,AZ,2020-12-05,2,3962.1953125
375,AZ,2020-12-05,3,3798.58203125
376,AZ,2020-12-12,0,5490.46484375
377,AZ,2020-12-12,1,13179.5546875
378,AZ,2020-12-12,2,17465.5859375
379,AZ,2020-12-12,3,662.4296875
380,AZ,2020-12-19,0,13313.3203125
381,AZ,2020-12-19,1,16677.17578125
382,AZ,2020-12-19,2,2130.9296875
383,AZ,2020-12-19,3,8486.7578125
384,AR,2020-05-16,0,691.1765441894531
385,AR,2020-05-16,1,726.7109985351562
386,AR,2020-05-16,2,1572.385986328125
387,AR,2020-05-16,3,2473.5990600585938
388,AR,2020-05-23,0,339.84014892578125
389,AR,2020-05-23,1,1096.6820068359375
390,AR,2020-05-23,2,1944.344970703125
391,AR,2020-05-23,3,1959.95556640625
392,AR,2020-05-30,0,745.558349609375
393,AR,2020-05-30,1,1500.33447265625
394,AR,2020-05-30,2,1469.35546875
395,AR,2020-05-30,3,2529.47509765625
396,AR,2020-06-06,0,856.95263671875
397,AR,2020-06-06,1,561.58544921875
398,AR,2020-06-06,2,1408.547607421875
399,AR,2020-06-06,3,996.4853515625
400,AR,2020-06-13,0,201.598876953125
401,AR,2020-06-13,1,443.00634765625
402,AR,2020-06-13,2,198.181640625
403,AR,2020-06-13,3,330.52001953125
404,AR,2020-06-20,0,356.10400390625
405,AR,2020-06-20,1,167.7978515625
406,AR,2020-06-20,2,380.4716796875
407,AR,2020-06-20,3,265.88818359375
408,AR,2020-06-27,0,1052.041015625
409,AR,2020-06-27,1,636.83935546875
410,AR,2020-06-27,2,833.111328125
411,AR,2020-06-27,3,242.26806640625
412,AR,2020-07-04,0,396.8642578125
413,AR,2020-07-04,1,603.7529296875
414,AR,2020-07-04,2,38.49853515625
415,AR,2020-07-04,3,262.3017578125
416,AR,2020-07-11,0,820.06640625
417,AR,2020-07-11,1,257.60498046875
418,AR,2020-07-11,2,644.8291015625
419,AR,2020-07-11,3,343.84326171875
420,AR,2020-07-18,0,417.734375
421,AR,2020-07-18,1,864.826171875
422,AR,2020-07-18,2,571.8212890625
423,AR,2020-07-18,3,2744.54150390625
424,AR,2020-07-25,0,1478.998046875
425,AR,2020-07-25,1,1407.0732421875
426,AR,2020-07-25,2,3733.9140625
427,AR,2020-07-25,3,3180.8154296875
428,AR,2020-08-01,0,1214.7744140625
429,AR,2020-08-01,1,3351.74365234375
430,AR,2020-08-01,2,2714.48095703125
431,AR,2020-08-01,3,2779.33984375
432,AR,2020-08-08,0,3271.36474609375
433,AR,2020-08-08,1,2806.091796875
434,AR,2020-08-08,2,2967.2197265625
435,AR,2020-08-08,3,3021.87890625
436,AR,2020-08-15,0,1086.527587890625
437,AR,2020-08-15,1,1503.4189453125
438,AR,2020-08-15,2,1947.08447265625
439,AR,2020-08-15,3,2872.922607421875
440,AR,2020-08-22,0,573.681396484375
441,AR,2020-08-22,1,863.759521484375
442,AR,2020-08-22,2,1633.26611328125
443,AR,2020-08-22,3,2047.065673828125
444,AR,2020-08-29,0,185.677734375
445,AR,2020-08-29,1,320.8828125
446,AR,2020-08-29,2,584.5966796875
447,AR,2020-08-29,3,580.142578125
448,AR,2020-09-05,0,176.03369140625
449,AR,2020-09-05,1,12.53955078125
450,AR,2020-09-05,2,21.31103515625
451,AR,2020-09-05,3,150.19287109375
452,AR,2020-09-12,0,141.197265625
453,AR,2020-09-12,1,325.1005859375
454,AR,2020-09-12,2,403.13720703125
455,AR,2020-09-12,3,645.03125
456,AR,2020-09-19,0,690.9453125
457,AR,2020-09-19,1,924.025390625
458,AR,2020-09-19,2,1225.7734375
459,AR,2020-09-19,3,878.8681640625
460,AR,2020-09-26,0,1577.7744140625
461,AR,2020-09-26,1,1968.3916015625
462,AR,2020-09-26,2,1660.595703125
463,AR,2020-09-26,3,1059.439453125
464,AR,2020-10-03,0,1736.41650390625
465,AR,2020-10-03,1,1568.2001953125
466,AR,2020-10-03,2,1035.29833984375
467,AR,2020-10-03,3,1145.14111328125
468,AR,2020-10-10,0,1262.9267578125
469,AR,2020-10-10,1,752.91796875
470,AR,2020-10-10,2,937.75048828125
471,AR,2020-10-10,3,739.69970703125
472,AR,2020-10-17,0,1006.2578125
473,AR,2020-10-17,1,1342.7470703125
474,AR,2020-10-17,2,223.3203125
475,AR,2020-10-17,3,2779.587890625
476,AR,2020-10-24,0,1632.5869140625
477,AR,2020-10-24,1,259.3154296875
478,AR,2020-10-24,2,2088.1865234375
479,AR,2020-10-24,3,2191.9541015625
480,AR,2020-10-31,0,261.1982421875
481,AR,2020-10-31,1,1993.083984375
482,AR,2020-10-31,2,2077.1171875
483,AR,2020-10-31,3,1658.787109375
484,AR,2020-11-07,0,4883.4619140625
485,AR,2020-11-07,1,5242.48193359375
486,AR,2020-11-07,2,4950.9208984375
487,AR,2020-11-07,3,8307.00390625
488,AR,2020-11-14,0,2070.01953125
489,AR,2020-11-14,1,3598.92578125
490,AR,2020-11-14,2,1287.2783203125
491,AR,2020-11-14,3,1244.138671875
492,AR,2020-11-21,0,3564.439453125
493,AR,2020-11-21,1,1387.7822265625
494,AR,2020-11-21,2,1594.16796875
495,AR,2020-11-21,3,962.87109375
496,AR,2020-11-28,0,611.845703125
497,AR,2020-11-28,1,753.84765625
498,AR,2020-11-28,2,106.197265625
499,AR,2020-11-28,3,2018.6298828125
500,AR,2020-12-05,0,2862.0
501,AR,2020-12-05,1,2565.779296875
502,AR,2020-12-05,2,5222.234375
503,AR,2020-12-05,3,2154.06640625
504,AR,2020-12-12,0,3413.16796875
505,AR,2020-12-12,1,6075.65234375
506,AR,2020-12-12,2,3242.275390625
507,AR,2020-12-12,3,1211.125
508,AR,2020-12-19,0,6756.888671875
509,AR,2020-12-19,1,4133.37109375
510,AR,2020-12-19,2,1950.19921875
511,AR,2020-12-19,3,4482.767578125
512,CA,2020-05-16,0,1788.353515625
513,CA,2020-05-16,1,1042.8125
514,CA,2020-05-16,2,1876.515625
515,CA,2020-05-16,3,4355.51953125
516,CA,2020-05-23,0,285.861328125
517,CA,2020-05-23,1,843.943359375
518,CA,2020-05-23,2,2993.4453125
519,CA,2020-05-23,3,6449.513671875
520,CA,2020-05-30,0,2360.537109375
521,CA,2020-05-30,1,1231.509765625
522,CA,2020-05-30,2,1326.79296875
523,CA,2020-05-30,3,10706.828125
524,CA,2020-06-06,0,3038.400390625
525,CA,2020-06-06,1,973.80078125
526,CA,2020-06-06,2,8307.2421875
527,CA,2020-06-06,3,14680.369140625
528,CA,2020-06-13,0,2303.3359375
529,CA,2020-06-13,1,5508.443359375
530,CA,2020-06-13,2,10463.9296875
531,CA,2020-06-13,3,33140.994140625
532,CA,2020-06-20,0,2877.671875
533,CA,2020-06-20,1,7024.33203125
