                     date locationtest  value abbreviation location  population
location_name                                                                  
New Hampshire  2020-01-24           33      0           NH       33   1359711.0
New Hampshire  2020-01-25           33      0           NH       33   1359711.0
New Hampshire  2020-01-26           33      0           NH       33   1359711.0
New Hampshire  2020-01-27           33      0           NH       33   1359711.0
New Hampshire  2020-01-28           33      0           NH       33   1359711.0
...                   ...          ...    ...          ...      ...         ...
New Hampshire  2021-01-07           33    423           NH       33   1359711.0
New Hampshire  2021-01-08           33    891           NH       33   1359711.0
New Hampshire  2021-01-09           33    719           NH       33   1359711.0
New Hampshire  2021-01-10           33    729           NH       33   1359711.0
New Hampshire  2021-01-11           33    707           NH       33   1359711.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta_1[129]      0.01      0.00      0.01      0.01      0.01   1575.21      1.00
   beta_1[130]      0.01      0.00      0.01      0.01      0.01   1698.48      1.00
   beta_1[131]      0.01      0.00      0.01      0.01      0.01   1559.03      1.00
   beta_1[132]      0.01      0.00      0.01      0.01      0.01   1633.03      1.00
   beta_1[133]      0.01      0.00      0.01      0.01      0.01   1589.27      1.00
   beta_1[134]      0.01      0.00      0.01      0.01      0.01   1958.14      1.00
   beta_1[135]      0.01      0.00      0.01      0.01      0.01   1823.20      1.00
   beta_1[136]      0.01      0.00      0.01      0.01      0.01   1952.58      1.00
   beta_1[137]      0.01      0.00      0.01      0.01      0.01   1910.10      1.00
   beta_1[138]      0.01      0.00      0.01      0.01      0.01   1976.90      1.00
   beta_1[139]      0.01      0.00      0.01      0.01      0.01   1957.13      1.00
   beta_1[140]      0.01      0.00      0.01      0.01      0.01   1983.90      1.00
   beta_1[141]      0.01      0.00      0.01      0.01      0.01   2019.29      1.00
   beta_1[142]      0.01      0.00      0.01      0.00      0.01   1768.35      1.00
   beta_1[143]      0.01      0.00      0.01      0.00      0.01   2023.63      1.00
   beta_1[144]      0.01      0.00      0.01      0.00      0.01   2229.23      1.00
   beta_1[145]      0.01      0.00      0.01      0.00      0.01   2115.83      1.00
   beta_1[146]      0.01      0.00      0.01      0.00      0.01   2161.23      1.00
   beta_1[147]      0.01      0.00      0.01      0.00      0.01   2136.21      1.00
   beta_1[148]      0.01      0.00      0.01      0.00      0.01   2330.66      1.00
   beta_1[149]      0.01      0.00      0.01      0.00      0.01   2127.86      1.00
   beta_1[150]      0.01      0.00      0.01      0.00      0.01   2288.94      1.00
